Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
31.9,31.9,30.8,31.6,31.54,39600.0,33.0,1249080.0,30000.0,75.76,1.1,-0.3
31.95,32.3,31.0,31.2,31.73,39600.0,30.0,1256340.0,27600.0,69.7,1.3,-0.75
31.0,31.15,30.6,30.6,30.78,7200.0,6.0,221580.0,6000.0,83.33,0.55,-0.4
31.75,31.8,30.0,30.8,30.68,46800.0,39.0,1436040.0,32400.0,69.23,1.8,-0.95
31.4,31.5,31.3,31.45,31.38,6000.0,5.0,188280.0,6000.0,100.0,0.2,0.05
31.7,31.8,30.7,31.4,31.29,30000.0,23.0,938760.0,24000.0,80.0,1.1,-0.3
30.95,31.75,30.95,31.5,31.52,27600.0,23.0,869820.0,24000.0,86.96,0.8,0.55
30.75,31.7,30.35,31.55,31.04,12000.0,10.0,372420.0,8400.0,70.0,1.35,0.8
31.3,31.3,29.75,30.35,30.73,33600.0,21.0,1032660.0,27600.0,82.14,1.55,-0.95
29.75,31.0,29.6,29.9,29.96,15600.0,12.0,467400.0,12000.0,76.92,1.4,0.15
30.05,30.05,29.0,30.0,29.75,20400.0,16.0,606900.0,16800.0,82.35,1.05,-0.05
30.0,30.0,29.7,29.7,29.93,4800.0,4.0,143640.0,4800.0,100.0,0.3,-0.3
29.7,30.85,29.7,29.75,30.39,18000.0,8.0,547080.0,15600.0,86.67,1.15,0.05
29.3,30.6,29.3,30.6,29.97,7200.0,6.0,215760.0,4800.0,66.67,1.3,1.3
30.6,31.0,29.55,30.6,30.32,22800.0,17.0,691380.0,16800.0,73.68,1.45,0.0
31.0,31.9,30.0,30.0,30.37,63600.0,43.0,1931520.0,54000.0,84.91,1.9,-1.0
30.0,30.5,29.75,29.8,30.06,10800.0,8.0,324660.0,9600.0,88.89,0.75,-0.2
29.3,30.0,29.3,29.9,29.54,9600.0,8.0,283560.0,6000.0,62.5,0.7,0.6
29.75,29.75,29.35,29.35,29.45,4800.0,4.0,141360.0,3600.0,75.0,0.4,-0.4
31.4,31.75,30.0,30.15,30.92,30000.0,23.0,927720.0,24000.0,80.0,1.75,-1.25
30.5,31.25,30.5,30.95,30.61,46800.0,9.0,1432440.0,45600.0,97.44,0.75,0.45
31.35,32.5,31.0,31.7,31.82,32400.0,26.0,1031100.0,26400.0,81.48,1.5,0.35
32.35,32.7,30.8,31.1,31.75,24000.0,19.0,761880.0,14400.0,60.0,1.9,-1.25
32.1,32.25,31.3,32.0,31.75,8400.0,7.0,266700.0,8400.0,100.0,0.95,-0.1
32.0,34.0,31.45,32.25,32.38,58800.0,28.0,1904220.0,46800.0,79.59,2.55,0.25
30.8,31.0,29.3,30.45,30.43,36000.0,28.0,1095360.0,33600.0,93.33,1.7,-0.35
30.75,31.0,30.5,30.95,30.84,9600.0,8.0,296040.0,9600.0,100.0,0.5,0.2
30.3,30.65,30.0,30.0,30.17,14400.0,8.0,434400.0,13200.0,91.67,0.65,-0.3
30.0,30.65,28.0,29.15,29.38,33600.0,26.0,987060.0,27600.0,82.14,2.65,-0.85
29.3,29.3,27.0,27.0,27.53,26400.0,22.0,726660.0,24000.0,90.91,2.3,-2.3
27.85,28.85,27.85,28.0,28.37,9600.0,7.0,272340.0,8400.0,87.5,1.0,0.15
28.05,28.05,25.0,26.15,26.28,31200.0,22.0,820080.0,22800.0,73.08,3.05,-1.9
27.0,28.3,27.0,28.15,27.8,12000.0,10.0,333540.0,10800.0,90.0,1.3,1.15
27.45,28.5,27.0,28.05,27.66,8400.0,7.0,232320.0,7200.0,85.71,1.5,0.6
28.35,29.0,28.35,28.9,28.64,8400.0,7.0,240540.0,8400.0,100.0,0.65,0.55
28.3,29.0,28.0,28.65,28.43,13200.0,10.0,375300.0,9600.0,72.73,1.0,0.35
29.6,29.9,29.5,29.5,29.78,14400.0,12.0,428820.0,14400.0,100.0,0.4,-0.1
28.8,29.5,28.8,28.85,29.27,9600.0,7.0,280980.0,8400.0,87.5,0.7,0.05
28.3,28.8,28.25,28.45,28.42,13200.0,11.0,375180.0,12000.0,90.91,0.55,0.15
27.7,28.2,27.0,27.0,27.67,16800.0,14.0,464880.0,13200.0,78.57,1.2,-0.7
27.4,29.9,27.4,27.95,28.54,64800.0,40.0,1849620.0,61200.0,94.44,2.5,0.55
27.9,30.7,26.8,29.2,28.52,62400.0,40.0,1779540.0,45600.0,73.08,3.9,1.3
28.95,29.0,28.5,28.5,28.83,4800.0,4.0,138360.0,4800.0,100.0,0.5,-0.45
29.0,29.0,28.05,28.8,28.95,27600.0,4.0,799020.0,26400.0,95.65,0.95,-0.2
29.8,30.4,23.8,27.0,29.02,57600.0,15.0,1671780.0,52800.0,91.67,6.6,-2.8
26.15,26.95,26.15,26.95,26.64,16800.0,14.0,447540.0,12000.0,71.43,0.8,0.8
27.0,27.4,26.5,26.5,27.04,12000.0,7.0,324420.0,12000.0,100.0,0.9,-0.5
27.0,27.0,27.0,27.0,27.0,2400.0,2.0,64800.0,2400.0,100.0,0.0,0.0
25.6,25.6,25.6,25.6,25.6,1200.0,1.0,30720.0,1200.0,100.0,0.0,0.0
26.0,26.0,24.8,25.95,25.37,13200.0,9.0,334860.0,10800.0,81.82,1.2,-0.05
24.7,25.95,24.7,25.8,25.51,4800.0,4.0,122460.0,3600.0,75.0,1.25,1.1
25.05,25.05,24.15,25.0,24.69,9600.0,7.0,237000.0,8400.0,87.5,0.9,-0.05
25.0,25.45,25.0,25.45,25.21,6000.0,5.0,151260.0,6000.0,100.0,0.45,0.45
25.45,25.45,25.45,25.45,25.45,1200.0,1.0,30540.0,1200.0,100.0,0.0,0.0
25.5,26.15,23.4,24.2,24.84,26400.0,18.0,655740.0,9600.0,36.36,2.75,-1.3
24.75,25.2,24.0,24.0,24.92,9600.0,5.0,239220.0,9600.0,100.0,1.2,-0.75
24.75,25.1,24.45,25.1,24.79,9600.0,8.0,238020.0,7200.0,75.0,0.65,0.35
25.1,25.1,24.6,24.6,24.85,2400.0,2.0,59640.0,2400.0,100.0,0.5,-0.5
24.9,24.9,23.65,23.65,24.43,7200.0,6.0,175860.0,7200.0,100.0,1.25,-1.25
24.0,24.85,24.0,24.0,24.19,12000.0,10.0,290220.0,8400.0,70.0,0.85,0.0
24.0,24.45,23.85,24.05,24.14,13200.0,11.0,318660.0,13200.0,100.0,0.6,0.05
24.5,26.3,24.5,24.95,25.39,82800.0,50.0,2102640.0,62400.0,75.36,1.8,0.45
24.95,25.2,24.9,25.2,25.02,3600.0,3.0,90060.0,3600.0,100.0,0.3,0.25
25.6,25.6,25.4,25.4,25.5,2400.0,2.0,61200.0,2400.0,100.0,0.2,-0.2
25.75,25.75,24.45,24.6,24.92,7200.0,6.0,179400.0,4800.0,66.67,1.3,-1.15
25.4,26.0,25.4,25.7,25.68,7200.0,5.0,184860.0,7200.0,100.0,0.6,0.3
26.4,26.4,25.0,25.55,25.4,13200.0,9.0,335280.0,10800.0,81.82,1.4,-0.85
